AlbumId,Title,Min(Milliseconds),Max(Milliseconds)
340,Liszt - 12 Ã‰tudes D'Execution Transcendante,51780,51780
345,Monteverdi: L'Orfeo,66639,66639
318,SCRIABIN: Vers la flamme,101293,101293
328,"Charpentier: Divertissements, Airs & Concerts",110266,110266
315,Handel: Music for the Royal Fireworks (Original Version 1749),120000,120000
277,Bach: Goldberg Variations,120463,120463
313,Bizet: Carmen Highlights,132932,132932
314,English Renaissance,69194,133768
344,Schubert: The Late String Quartets & String Quintet (3 CD's),139200,139200
333,Purcell: Music for the Queen Mary,142081,142081
278,Bach: The Cello Suites,143288,143288
297,Bach: Toccata & Fugue in D Minor,153901,153901
295,Carmina Burana,156710,156710
12,BackBeat Soundtrack,106266,163265
266,Duos II,172710,172710
